14.72333,13.60578,12.12668,11.52573,11.05021,10.49908,9.91369,9.58113,9.13605
4.20262,2.83635,2.26375,1.98757,1.84699,1.75116,1.65988,1.59171,1.54686
2.30918,1.32595,1.15239,1.1199,1.06395,1.01198,0.94349,0.9061,0.85445
1.75741,1.06785,1.02879,1.03765,0.98075,0.92883,0.84802,0.80003,0.74577
1.58898,1.07914,1.12221,1.114,1.06104,0.99517,0.91138,0.85505,0.78819
7.82614,12.48064,14.96425,15.87726,16.80229,18.36364,20.10608,21.22835,22.72199
1.79588,1.52853,1.57929,1.56112,1.46735,1.3567,1.2488,1.18599,1.12035
2.1894,1.97368,1.98773,1.95439,1.8598,1.74128,1.6111,1.526,1.43526
2.83556,2.71203,2.69979,2.66272,2.58898,2.45138,2.27927,2.17763,2.06036
4.38155,4.5029,4.39326,4.3846,4.33076,4.21592,4.00357,3.87157,3.64977
6.38995,6.88715,6.68186,6.77506,6.94788,6.68486,6.47472,6.27644,5.94095
