18.78433,18.20733,16.84839,17.24804,17.74205,17.52828,17.57034,17.80908,17.75488
7.71713,4.85775,3.75158,3.36501,3.19877,2.96983,2.85073,2.83115,2.74883
4.04587,2.48118,1.93349,1.73431,1.66234,1.57971,1.55656,1.58593,1.59571
2.91561,1.79764,1.45364,1.36307,1.33219,1.32396,1.34286,1.38818,1.42169
2.3888,1.4991,1.28788,1.25665,1.27567,1.29966,1.32223,1.40477,1.43215
2.285,9.73879,12.33727,11.65082,10.51711,10.7295,10.66473,9.61385,9.74525
2.00199,1.43561,1.34434,1.38497,1.46102,1.51813,1.56858,1.67328,1.70096
2.0107,1.59683,1.54281,1.63375,1.72704,1.79608,1.85129,1.95297,1.97352
2.1422,1.94207,1.97771,2.10558,2.25015,2.32987,2.34594,2.46258,2.4596
2.61973,2.74522,3.07401,3.33378,3.57996,3.60069,3.6005,3.74677,3.70503
3.08864,3.69848,4.44888,4.92402,5.2537,5.32429,5.32624,5.53144,5.46238
