12.15863,11.3788,10.64211,10.45392,10.5456,10.25618,10.1166,10.14534,10.06228
4.14563,3.03517,2.40402,2.13869,2.01693,1.85642,1.79364,1.80008,1.78659
2.29949,1.52995,1.12407,0.95525,0.8952,0.85165,0.84342,0.87509,0.89946
1.70115,1.11523,0.83089,0.73489,0.7333,0.73126,0.75851,0.80264,0.82498
1.4441,0.97565,0.77269,0.73384,0.77834,0.80142,0.83557,0.88056,0.90434
16.80021,22.00544,24.21321,24.70983,24.19334,25.16106,25.34267,25.15169,25.57897
1.38361,1.12151,1.04371,1.07944,1.15424,1.15366,1.18142,1.19191,1.14712
1.54246,1.37448,1.35965,1.40519,1.467,1.42494,1.40699,1.38942,1.32039
1.90381,1.74658,1.78139,1.81719,1.88557,1.78639,1.74705,1.72908,1.63317
2.80913,2.48239,2.53162,2.609,2.73308,2.56268,2.51424,2.51579,2.41465
3.81178,3.2348,3.29664,3.36276,3.5974,3.41434,3.45989,3.5184,3.42805
