19.77897,23.73219,24.26572,24.34242,24.25819,24.0468,23.79817,23.57186,23.22857
7.12002,4.32747,3.14766,2.58322,2.31593,2.1345,2.11001,2.08717,2.0688
3.71984,1.9849,1.37262,1.16004,1.09318,1.0834,1.13414,1.14314,1.17026
2.64248,1.39879,1.05084,0.97561,0.96943,0.98345,1.03879,1.06213,1.07749
2.13791,1.2051,1.02653,1.01316,1.03547,1.04817,1.11172,1.13093,1.15019
2.13016,2.26986,2.69177,3.08172,3.30748,3.61356,3.84494,3.98311,4.23751
1.8502,1.37302,1.39181,1.41631,1.45631,1.47845,1.51243,1.54433,1.54692
1.89708,1.68452,1.79855,1.8738,1.88336,1.89926,1.89815,1.93371,1.9347
2.14476,2.27884,2.52381,2.62758,2.62913,2.62911,2.58891,2.60589,2.60115
2.85482,3.82082,4.22975,4.34319,4.37658,4.37261,4.2883,4.30835,4.30254
3.72376,5.92449,6.50094,6.58295,6.67494,6.71069,6.67444,6.62938,6.68187
